numVertebrae,vertebraeRadius,numLegs,numLegSegments,legLength,final_loss
3,0.017824969155828173,3,4,0.012801164441649174,-0.2392571121454239
4,0.018626530194125978,0,1,0.01,-0.21934431791305542
2,0.04709408958510452,1,1,0.01,-0.21170596778392792
5,0.04574867377989928,4,4,0.013746360481813873,-0.38219180703163147
6,0.04277973136158824,5,4,0.01,-0.4134470522403717
3,0.02594917792021651,3,3,0.018730715659784108,-0.29090452194213867
7,0.03949372649451255,6,4,0.011120717157286589,-0.40852031111717224
5,0.050049779281641844,4,5,0.01,-0.43117931485176086
4,0.05035069150712937,5,6,0.010328537428091217,-0.4476027488708496
7,0.042998717228734815,6,5,0.017364780475840585,-0.49817442893981934
